设备ID,有功功率,无功功率
10,0.4284875,0.36874375
11,0.49205,0.441675
12,0.4446,0.399715
13,0.000583333,0.00027
14,0.480966667,0.4295
15,0.44689375,0.3815375
16,0.482625,0.4396375
17,0.4906125,0.4386375
18,0.4077375,0.3748
19,0.0005,0.000333333
20,0.44874,0.422
21,0.000288,0.000192
22,0.49241,0.44152
23,0.48606,0.44988
24,0.00003125,0.000025
1,0.511833333,0.4427
2,0.0007625,0.00051875
3,0.617794286,0.586551429
4,0.46025625,0.39659375
5,0.5742175,0.53805
6,0.610042857,0.545514286
7,0.399808,0.357288
8,0.44795,0.38232
9,0.4078,0.36684
10,0.40335,0.34635625
11,0.555475,0.5083125
12,0.4085575,0.35868
13,0.00096,0.00059
14,0.404633333,0.3479
15,0.45790625,0.413725
16,0.48373125,0.41828125
17,0.41115,0.3854875
18,0.4833375,0.447775
19,0.0007,0.000466667
20,0.38156,0.34374
21,0.000672,0.000608
22,0.38166,0.35683
23,0.45568,0.4296
24,0.0000125,0.00000625
1,0.502166667,0.433166667
2,0.00058125,0.000325
3,0.47814,0.421242857
4,0.47655625,0.4348125
5,0.6223425,0.5637825
6,0.514125714,0.439728571
7,0.39704,0.37656
8,0.38905,0.34361
9,0.39244,0.3474
10,0.40030625,0.35921875
11,0.542275,0.4982
12,0.4455775,0.384975
13,0.000373333,0.00018
14,0.453,0.412233333
15,0.44943125,0.4004125
16,0.64011875,0.6031375
17,0.42345625,0.388675
18,0.4536875,0.4083375
19,0.0004,0.0003
20,0.44852,0.42394
21,0.000368,0.000248
22,0.42552,0.38162
23,0.40066,0.36442
24,0.00075625,0.000575
1,0.466766667,0.429133333
2,0.000925,0.00075625
3,0.54036,0.493917143
4,0.403675,0.3590875
5,0.5209125,0.4672025
6,0.554622857,0.500605714
7,0.36916,0.326984
8,0.38038,0.34269
9,0.45784,0.41454
10,0.4348375,0.39410625
11,0.5363,0.46085
12,0.4575425,0.4316375
13,0.00021,0.000133333
14,0.443333333,0.401166667
15,0.42571875,0.392825
